i,alg,rmse,mae
0, KNR, 347082.16184688685, 25866.416069829367
0, MLP, 40927.497827033156, 33930.83929239479
0, SVM, 11077.641968877968, 8996.041054084619
0, RF, 22948.14104833957, 18367.809859753033
0, GB, 16040.26619396365, 12631.79030003125
0, RLM, 10349.306855232591, 8324.684783060007
1, KNR, 350469.60785086546, 23585.33900626837
1, MLP, 31118.598601647496, 25089.709980433858
1, SVM, 9434.571239312236, 7703.97172195931
1, RF, 21246.98111587061, 16871.052482046813
1, GB, 16247.455443599287, 13032.467019666132
1, RLM, 9714.84892850351, 7893.329970363304
2, KNR, 356924.6884265556, 27612.062680679188
2, MLP, 71216.03400666821, 58888.25957433103
2, SVM, 10180.241044684466, 8071.528411934423
2, RF, 23214.843372004303, 18267.917583792114
2, GB, 14800.451719271252, 11769.378174292598
2, RLM, 9033.941169725305, 7032.205488497857
3, KNR, 359247.276284506, 25959.308481320775
3, MLP, 33235.690710855844, 27616.449987771673
3, SVM, 10561.374071018565, 8337.884775318511
3, RF, 23131.664409485114, 18751.54161140642
3, GB, 15938.565592661147, 12976.7804036906
3, RLM, 9830.79784711953, 7664.365192987391
4, KNR, 354679.0360713801, 26498.056372798528
4, MLP, 33272.49203770659, 27488.031451310235
4, SVM, 9822.66707506571, 7883.577915185336
4, RF, 23821.929300852265, 19331.73900949646
4, GB, 16439.130981948554, 13491.637257416402
4, RLM, 9366.606287933662, 7532.771184765138
5, KNR, 357068.0875520777, 25219.961382800255
5, MLP, 32853.77539836445, 26500.247727599526
5, SVM, 10903.502516669876, 8618.23318788315
5, RF, 23343.793485076294, 18896.782892243686
5, GB, 16074.356365333462, 13031.145890539525
5, RLM, 10555.28879170262, 8124.681042657921
6, KNR, 363166.6610575346, 26828.45997049365
6, MLP, 39924.182578534055, 32765.358979933106
6, SVM, 10857.735500519211, 8578.735453871033
6, RF, 23606.653570556322, 18952.39054935578
6, GB, 16122.663833630333, 13046.216741978902
6, RLM, 10385.803970151897, 8098.039106701204
7, KNR, 351418.0753065156, 23448.465116519063
7, MLP, 31782.674370665984, 25992.790357804395
7, SVM, 9624.810659271407, 7703.632432117276
7, RF, 21928.87648356053, 17185.482990688935
7, GB, 16058.761937670046, 12713.899036926397
7, RLM, 9616.034440057256, 7587.552299888721
8, KNR, 344741.2258993852, 25219.804860034936
8, MLP, 37169.67374791508, 30596.130456207884
8, SVM, 10357.268784331884, 8328.952487208357
8, RF, 22221.444472325962, 17775.55194930286
8, GB, 14922.364394025059, 11760.113499680918
8, RLM, 9468.474319963114, 7459.055966884811
9, KNR, 345068.90220982535, 24491.068653753937
9, MLP, 47015.91552775307, 38114.05744059398
9, SVM, 10656.699712866686, 8471.678403654061
9, RF, 22392.03815344155, 17697.77632312733
9, GB, 15545.013693293151, 12112.957057595395
9, RLM, 9878.222975591787, 7778.918604530175
10, KNR, 349340.83178172854, 24769.533400504806
10, MLP, 47875.220746154424, 39413.48647306132
10, SVM, 10669.240934947698, 8413.582523661167
10, RF, 21235.662087166493, 17168.541505265475
10, GB, 15757.236104753081, 12742.57651392006
10, RLM, 9448.109961944027, 7465.984050060146
11, KNR, 366539.51804174477, 27245.37559873175
11, MLP, 41221.06428461475, 32702.955375987556
11, SVM, 10268.23627678442, 8138.815668205982
11, RF, 24857.643563340524, 19978.91369993142
11, GB, 16294.865222865508, 13040.224047427062
11, RLM, 9760.79760510824, 7666.497368017592
12, KNR, 352214.4245665101, 26941.026259312286
12, MLP, 86306.01354079331, 70436.09971257219
12, SVM, 10742.717547637178, 8643.450735662918
12, RF, 23100.288773569482, 18053.012545041347
12, GB, 16505.34551752691, 13228.638640244111
12, RLM, 9754.37829075207, 7774.807821887168
13, KNR, 369222.0083337137, 27122.057959926584
13, MLP, 102618.40149618634, 88070.7364179917
13, SVM, 9828.559412633613, 8036.257385573645
13, RF, 22774.80485660614, 17893.12342935475
13, GB, 15052.893626151112, 12094.7310574616
13, RLM, 9921.779811631714, 8063.427145221301
14, KNR, 365718.99012487096, 27016.19897623956
14, MLP, 46664.03143234839, 38083.39513302374
14, SVM, 11475.207585034157, 9304.469028178986
14, RF, 25242.976788233824, 20275.958038240322
14, GB, 17126.290702623937, 13913.785435020227
14, RLM, 10779.460208659842, 8615.205657571032
15, KNR, 358292.4852631679, 24188.43270980648
15, MLP, 38595.157369763016, 31414.645280744684
15, SVM, 10019.278811532517, 7835.101231372716
15, RF, 21614.685601690584, 17145.255882004705
15, GB, 15797.096008503255, 12534.168018373199
15, RLM, 9612.501891299647, 7519.028211311808
16, KNR, 371082.5576897597, 26293.49015152312
16, MLP, 36315.582991715855, 29657.791777769708
16, SVM, 10476.306715406683, 8426.827196171187
16, RF, 22821.577335196696, 18070.14947598129
16, GB, 15595.107326899393, 12589.182885105158
16, RLM, 10087.952717265773, 7843.482632651191
17, KNR, 345832.80065913626, 24547.673441968494
17, MLP, 41049.22540267707, 33603.551172780724
17, SVM, 11040.63347712778, 8820.296407029104
17, RF, 21577.32954265677, 17359.252098124853
17, GB, 15123.69946785818, 12091.730973351298
17, RLM, 10718.096827325602, 8408.433995522573
18, KNR, 344871.02012300503, 26875.9080759456
18, MLP, 32168.731009750267, 25675.562425692562
18, SVM, 10627.434628806937, 8447.987557755114
18, RF, 23742.952780948763, 18894.84105312557
18, GB, 17033.1488958557, 13670.5311899442
18, RLM, 10026.71175438655, 7870.151932726682
19, KNR, 356265.1233317804, 26115.36956150364
19, MLP, 54142.00717407119, 45083.08592346727
19, SVM, 10405.151878692299, 8391.03315745437
19, RF, 21130.24073023198, 17165.305417797117
19, GB, 16242.300733646673, 13203.916017181205
19, RLM, 9953.436149951898, 8028.926825049882
